object_id,heat-days-score,timeperiod
18-326-00243,,2025_06
18-326-00244,32.0,2025_06
18-326-00245,40.625,2025_06
18-326-00246,40.75,2025_06
18-326-00247,38.333333333333336,2025_06
18-755-00248,34.6,2025_06
18-756-00249,44.84615384615385,2025_06
18-756-00250,43.0,2025_06
18-756-00251,36.25,2025_06
18-757-00252,31.6,2025_06
18-757-00253,34.0,2025_06
18-757-00254,29.166666666666668,2025_06
18-759-00255,34.26190476190476,2025_06
18-758-00256,29.5,2025_06
18-758-00257,22.8,2025_06
18-816-00258,,2025_06
18-816-00259,34.0,2025_06
18-816-00261,32.714285714285715,2025_06
18-324-00262,27.333333333333332,2025_06
18-324-00263,26.0,2025_06
18-303-00264,30.5,2025_06
18-799-00265,27.0,2025_06
18-303-00266,28.5,2025_06
18-322-00267,36.0,2025_06
18-326-00268,38.333333333333336,2025_06
18-325-00269,30.714285714285715,2025_06
18-325-00270,34.111111111111114,2025_06
18-304-00271,31.75,2025_06
18-321-00272,33.0,2025_06
18-321-00273,33.833333333333336,2025_06
18-301-00274,24.5,2025_06
18-312-00276,27.666666666666668,2025_06
18-312-00277,28.0,2025_06
18-755-00278,33.0,2025_06
18-755-00279,30.166666666666668,2025_06
18-760-00280,28.25,2025_06
18-760-00281,31.09090909090909,2025_06
18-314-00275,28.625,2025_06
