object_id,rc_area,timeperiod,heat-days-score,land-surface-temperature,year,sum_aged_population,sum_young_population,sum_population,health_centres_count,workers-affected-pct,dtname,dtcode11,net_sown_area_in_hac,avg_electricity,avg_tele,rc_piped_hhds_pct,rc_nosanitation_hhds_pct,total_hhd,district,revenue_circle,women_sugar,men_sugar,women_bp,men_bp,pct_ncd,land-surface-temperature-raster
18-304-00129,184,2021_04,0.0,2,,8013.912000000128,17546.050999999978,200796.2078125002,22,55.93,MORIGAON,18-304,5683.8023,8.858145505075484,2.0,5.2474151534421445,11.538189783084858,42459.0,MORIGAON,Mikirbheta,4.42,4.67,4.87,6.69,5.1625000000000005,LST_ASSAM_2021_04.tif
18-305-00130,580,2021_04,0.0,3,,12716.856000000029,25243.915000000005,287930.140625,44,69.66,NAGAON,18-305,16579.104,9.057852889317676,2.0,4.578416780332014,14.21921221597525,60118.0,NAGAON,Kaliabor,6.17,9.14,2.89,2.47,5.1675,LST_ASSAM_2021_04.tif
18-305-00131,342,2021_04,0.0,3,,17459.117000000086,34868.802000000025,383686.328125,26,69.66,NAGAON,18-305,9857.235,10.350149858803556,2.0,7.388085791999446,21.986573344190155,57721.0,NAGAON,Samaguri,6.17,9.14,2.89,2.47,5.1675,LST_ASSAM_2021_04.tif
18-305-00132,306,2021_04,0.0,3,,15737.673000000184,31233.568000000087,288098.7874999996,52,69.66,NAGAON,18-305,12267.17,7.2677222276576545,2.0,0.8935851025666113,29.50244050919132,91989.0,NAGAON,Rupahi,6.17,9.14,2.89,2.47,5.1675,LST_ASSAM_2021_04.tif
18-305-00133,248,2021_04,0.0,3,,14577.15100000007,29489.5,437692.25,42,69.66,NAGAON,18-305,8468.21,12.37875139569882,2.0,8.57088373222001,20.68481673867664,102995.0,NAGAON,Dhing,6.17,9.14,2.89,2.47,5.1675,LST_ASSAM_2021_04.tif
18-305-00134,372,2021_04,0.0,3,,11464.79299999983,22907.72100000002,462943.7531250008,42,69.66,NAGAON,18-305,14352.44,12.250784762874352,2.0,10.030580865925735,10.46326084292488,106083.0,NAGAON,Nagaon,6.17,9.14,2.89,2.47,5.1675,LST_ASSAM_2021_04.tif
18-305-00135,341,2021_04,0.0,3,,6595.714000000036,13432.81699999998,184996.1296875002,37,69.66,NAGAON,18-305,14864.783,9.06623584441162,2.0,3.247168882323978,35.26834071885771,40620.0,NAGAON,Raha,6.17,9.14,2.89,2.47,5.1675,LST_ASSAM_2021_04.tif
18-305-00136,375,2021_04,0.0,3,,15183.56299999985,30492.061000000103,274554.68124999944,34,69.66,NAGAON,18-305,11035.26,8.410509418123445,2.0,0.1178185888278523,32.428093842506,67901.0,NAGAON,Kampur,6.17,9.14,2.89,2.47,5.1675,LST_ASSAM_2021_04.tif
18-306-00137,1231,2021_04,1.0588235294117647,4,,26353.35499999998,47716.70800000001,526840.2437500004,57,84.82,SONITPUR,18-306,36991.857,8.874969800549406,2.0,3.176414273826248,17.804918707552993,111757.0,SONITPUR,Dhekiajuli (Pt),3.89,4.56,8.0,7.65,6.025,LST_ASSAM_2021_04.tif
18-306-00138,1000,2021_04,0.7857142857142857,4,,16237.719999999972,29252.19199999998,294208.91250000056,37,84.82,SONITPUR,18-306,10935.87,9.030971091046291,2.0,4.811220108766361,15.754208841820406,76862.0,SONITPUR,Chariduar,3.89,4.56,8.0,7.65,6.025,LST_ASSAM_2021_04.tif
18-306-00139,546,2021_04,0.0,4,,11382.081000000006,20669.587000000058,387740.1062500002,30,84.82,SONITPUR,18-306,5620.47,12.515799940596873,3.0,8.765670674225499,6.502633108204088,77437.0,SONITPUR,Tezpur,3.89,4.56,8.0,7.65,6.025,LST_ASSAM_2021_04.tif
18-306-00140,668,2021_04,0.2222222222222222,4,,11719.78999999992,21098.36600000001,237397.0031249998,34,84.82,SONITPUR,18-306,17921.94,8.739520446520105,2.0,7.390743061092759,12.700763184872992,52674.0,SONITPUR,Na-Duar,3.89,4.56,8.0,7.65,6.025,LST_ASSAM_2021_04.tif
18-307-00141,380,2021_04,0.0,4,,4244.973999999987,7959.568999999989,146720.5687500001,16,79.61,LAKHIMPUR,18-307,15390.35,8.61925413084882,3.0,2.7564729500180163,12.711689916096155,38854.0,LAKHIMPUR,Narayanpur,3.47,3.43,4.44,5.33,4.1675,LST_ASSAM_2021_04.tif
18-307-00142,407,2021_04,0.0,4,,14104.631999999983,27259.617,260153.578125,25,79.61,LAKHIMPUR,18-307,9048.42503,9.413843175217812,2.0,5.173441872744874,11.923277303528998,56815.0,LAKHIMPUR,Bihpuria,3.47,3.43,4.44,5.33,4.1675,LST_ASSAM_2021_04.tif
18-307-00143,330,2021_04,0.4,4,,8877.469999999972,16716.642000000007,161093.6203124998,13,79.61,LAKHIMPUR,18-307,11977.515,7.83190560588158,2.0,1.1717211500590785,10.63410791650256,30468.0,LAKHIMPUR,Naobaicha,3.47,3.43,4.44,5.33,4.1675,LST_ASSAM_2021_04.tif
18-307-00144,523,2021_04,1.1428571428571428,4,,3610.602000000072,6813.524999999994,105222.0,13,79.61,LAKHIMPUR,18-307,18568.191,8.583383813908409,2.0,3.4074388175430093,17.446086745820207,33016.0,LAKHIMPUR,Kadam,3.47,3.43,4.44,5.33,4.1675,LST_ASSAM_2021_04.tif
18-307-00145,616,2021_04,0.0,4,,15688.60499999998,29481.688000000024,253406.8843750004,21,79.61,LAKHIMPUR,18-307,11189.82,8.86477015958198,3.0,3.585449618697924,13.13639493009462,56648.0,LAKHIMPUR,North Lakhimpur,3.47,3.43,4.44,5.33,4.1675,LST_ASSAM_2021_04.tif
18-307-00146,462,2021_04,0.0,4,,5427.523999999976,10279.733999999997,118079.16874999995,26,79.61,LAKHIMPUR,18-307,17938.65,8.38187631938408,2.0,2.6915435241524897,26.344219545510988,32212.0,LAKHIMPUR,Dhakuakhana (Pt-I),3.47,3.43,4.44,5.33,4.1675,LST_ASSAM_2021_04.tif
18-307-00147,280,2021_04,0.0,4,,4332.886999999988,8160.642999999996,103963.4273437499,10,79.61,LAKHIMPUR,18-307,6400.51,6.542400211472376,3.0,1.0362146444620672,22.03542162305049,18915.0,LAKHIMPUR,Subansiri (Pt-I),3.47,3.43,4.44,5.33,4.1675,LST_ASSAM_2021_04.tif
