revenue_ci,revenue_cr,HQ,are_new,dtname,object_id,dtcode11,women_sugar,men_sugar,women_bp,men_bp,pct_ncd
Naharkatiya,Naharkatia,,464,DIBRUGARH,18-310-00164,18-310,6.56,8.95,4.3,4.3,6.0275
Dimow,Demow,,478,SIVASAGAR,18-311-00165,18-311,6.22,8.8,5.94,6.82,6.945
Sibsagar,Sivsagar,y,388,SIVASAGAR,18-311-00166,18-311,6.22,8.8,5.94,6.82,6.945
Amguri,Amguri,,315,SIVASAGAR,18-311-00167,18-311,6.22,8.8,5.94,6.82,6.945
Nazira,Nazira,,386,SIVASAGAR,18-311-00168,18-311,6.22,8.8,5.94,6.82,6.945
Teok,Teok,,450,JORHAT,18-312-00169,18-312,7.32,9.27,7.11,6.42,7.529999999999999
Titabor,Titabor,,419,JORHAT,18-312-00170,18-312,7.32,9.27,7.11,6.42,7.529999999999999
Mariani,Mariani,,437,JORHAT,18-312-00171,18-312,7.32,9.27,7.11,6.42,7.529999999999999
Bokakhat,Bokakhat,,850,GOLAGHAT,18-313-00172,18-313,4.67,6.56,6.88,6.25,6.09
Khumtai,Khumtai,,473,GOLAGHAT,18-313-00173,18-313,4.67,6.56,6.88,6.25,6.09
Dergaon,Dergaon,,323,GOLAGHAT,18-313-00174,18-313,4.67,6.56,6.88,6.25,6.09
Golaghat,Golaghat,y,658,GOLAGHAT,18-313-00175,18-313,4.67,6.56,6.88,6.25,6.09
Morangi,Morangi,,319,GOLAGHAT,18-313-00176,18-313,4.67,6.56,6.88,6.25,6.09
Sarupathar,Sarupathar,,900,GOLAGHAT,18-313-00177,18-313,4.67,6.56,6.88,6.25,6.09
Diphu,Diphu,y,2468,KARBI ANGLONG,18-314-00178,18-314,3.22,4.8,6.5,6.56,5.27
Silonijan,Silonijan,,1566,KARBI ANGLONG,18-314-00179,18-314,3.22,4.8,6.5,6.56,5.27
Umrangso,Umrangso,,1460,DIMA HASAO,18-315-00180,18-315,2.4,2.82,3.45,4.01,3.17
Haflong,Haflong,y,1024,DIMA HASAO,18-315-00181,18-315,2.4,2.82,3.45,4.01,3.17
Mahur,Mahur,,568,DIMA HASAO,18-315-00182,18-315,2.4,2.82,3.45,4.01,3.17
Maibong,Maibong,,1832,DIMA HASAO,18-315-00183,18-315,2.4,2.82,3.45,4.01,3.17
Katigora,Katigorah,,744,CACHAR,18-316-00184,18-316,6.07,4.48,3.73,2.85,4.282500000000001
Silchar,Silchar,y,838,CACHAR,18-316-00185,18-316,6.07,4.48,3.73,2.85,4.282500000000001
Udarbond,Udharbond,,447,CACHAR,18-316-00186,18-316,6.07,4.48,3.73,2.85,4.282500000000001
Sonai,Sonai,,1000,CACHAR,18-316-00187,18-316,6.07,4.48,3.73,2.85,4.282500000000001
Lakhipur,Lakhipur,,754,CACHAR,18-316-00188,18-316,6.07,4.48,3.73,2.85,4.282500000000001
Karimganj,Karimganj,y,178,KARIMGANJ,18-317-00189,18-317,4.3,4.46,2.6,2.68,3.51
Badarpur,Badarpur,,134,KARIMGANJ,18-317-00190,18-317,4.3,4.46,2.6,2.68,3.51
Nilambazar,Nilambazar,,280,KARIMGANJ,18-317-00191,18-317,4.3,4.46,2.6,2.68,3.51
Patharkandi,Patherkandi,,672,KARIMGANJ,18-317-00192,18-317,4.3,4.46,2.6,2.68,3.51
RamkrishnaNagar,RK Nagar,,575,KARIMGANJ,18-317-00193,18-317,4.3,4.46,2.6,2.68,3.51
Algapur,Algapur,,156,HAILAKANDI,18-318-00194,18-318,5.78,7.31,5.76,5.61,6.115
Hailakandi,Hailakandi,y,161,HAILAKANDI,18-318-00195,18-318,5.78,7.31,5.76,5.61,6.115
Lala,Lala,,270,HAILAKANDI,18-318-00196,18-318,5.78,7.31,5.76,5.61,6.115
Katlichara,Katlicherra,,742,HAILAKANDI,18-318-00197,18-318,5.78,7.31,5.76,5.61,6.115
Bongaigaon(Pt),"Bongaigaon
(Pt)",y,189,BONGAIGAON,18-319-00198,18-319,4.04,5.81,3.97,3.63,4.3625
Boitamari,Boitamari,,297,BONGAIGAON,18-319-00199,18-319,4.04,5.81,3.97,3.63,4.3625
Srijangram,Srijangram,,348,BONGAIGAON,18-319-00200,18-319,4.04,5.81,3.97,3.63,4.3625
Sidli (Pt-II),Sidli (Pt-II),,85,BONGAIGAON,18-319-00201,18-319,4.04,5.81,3.97,3.63,4.3625
Manikpur,Manikpur,,169,BONGAIGAON,18-319-00202,18-319,4.04,5.81,3.97,3.63,4.3625
Kokrajhar (Pt),Kokrajhar (Pt),,13,CHIRANG,18-320-00203,18-320,2.64,4.1,5.24,6.35,4.5825
Barnagar (Pt),Barnagar (Pt),,34,CHIRANG,18-320-00204,18-320,2.64,4.1,5.24,6.35,4.5825
Bengtal,Bengtal,,716,CHIRANG,18-320-00205,18-320,2.64,4.1,5.24,6.35,4.5825
Sidli (Pt),Sidli (Pt),,229,CHIRANG,18-320-00206,18-320,2.64,4.1,5.24,6.35,4.5825
Bijni (Pt),Bijni (Pt),,934,CHIRANG,18-320-00207,18-320,2.64,4.1,5.24,6.35,4.5825
Rangia(Pt),"Rangia
(Pt)",,186,KAMRUP,18-321-00208,18-321,8.36,7.33,3.88,3.73,5.825
Koya,Kayan,,54,KAMRUP,18-321-00209,18-321,8.36,7.33,3.88,3.73,5.825
Kamalpur,Kamalpur,,250,KAMRUP,18-321-00210,18-321,8.36,7.33,3.88,3.73,5.825
Hajo,Hajo,,413,KAMRUP,18-321-00211,18-321,8.36,7.33,3.88,3.73,5.825
Chhaygaon,Chhaygaon,,471,KAMRUP,18-321-00212,18-321,8.36,7.33,3.88,3.73,5.825
Goroimari,Goroimari,,177,KAMRUP,18-321-00213,18-321,8.36,7.33,3.88,3.73,5.825
Chamaria,Chamaria,,140,KAMRUP,18-321-00214,18-321,8.36,7.33,3.88,3.73,5.825
Nagarbera,Nagarbera,,115,KAMRUP,18-321-00215,18-321,8.36,7.33,3.88,3.73,5.825
Boko,Boko,,514,KAMRUP,18-321-00216,18-321,8.36,7.33,3.88,3.73,5.825
NorthGuwahati,"North
Guwahati",,91,KAMRUP,18-321-00217,18-321,8.36,7.33,3.88,3.73,5.825
Jalah (Pt),Jalah (Pt),,56,KAMRUP,18-321-00218,18-321,8.36,7.33,3.88,3.73,5.825
Guwahati,Guwahati,y,101,KAMRUP METRO,18-322-00219,18-322,6.84,10.4,2.6,2.8,5.660000000000001
Sonapur,Sonapur,,493,KAMRUP METRO,18-322-00220,18-322,6.84,10.4,2.6,2.8,5.660000000000001
Chandrapur,Chandrapur,,125,KAMRUP METRO,18-322-00221,18-322,6.84,10.4,2.6,2.8,5.660000000000001
Tihu(Pt),"Tihu
(Pt)",,95,NALBARI,18-323-00222,18-323,8.02,9.66,4.99,5.11,6.945
PachimNalbari,Pachim Nalbari,,149,NALBARI,18-323-00223,18-323,8.02,9.66,4.99,5.11,6.945
Barkhetri,Barkhetri,,371,NALBARI,18-323-00224,18-323,8.02,9.66,4.99,5.11,6.945
Barbhag,Barbhag,,82,NALBARI,18-323-00225,18-323,8.02,9.66,4.99,5.11,6.945
Nalbari,Nalbari,y,128,NALBARI,18-323-00226,18-323,8.02,9.66,4.99,5.11,6.945
Banekuchi,Banekuchi,,61,NALBARI,18-323-00227,18-323,8.02,9.66,4.99,5.11,6.945
Ghograpar (Pt),Ghograpar (Pt),,131,NALBARI,18-323-00228,18-323,8.02,9.66,4.99,5.11,6.945
Baganpara (Pt),Baganpara (Pt),,212,BAKSA,18-324-00260,18-324,3.96,6.25,7.19,5.32,5.680000000000001
Baganpara (Pt),Baganpara (Pt),,19,NALBARI,18-323-00230,18-323,8.02,9.66,4.99,5.11,6.945
Barnagar (Pt),Barnagar (Pt),,460,BAKSA,18-324-00231,18-324,3.96,6.25,7.19,5.32,5.680000000000001
Ghograpar (Pt),Ghograpar (Pt),,35,BAKSA,18-324-00232,18-324,3.96,6.25,7.19,5.32,5.680000000000001
Jalah (Pt),Jalah (Pt),,292,BAKSA,18-324-00233,18-324,3.96,6.25,7.19,5.32,5.680000000000001
Barama,Barama,,96,BAKSA,18-324-00234,18-324,3.96,6.25,7.19,5.32,5.680000000000001
Rangia (Pt),Rangia (Pt),,23,TAMULPUR,18-816-00235,18-816,3.96,6.25,7.19,5.32,5.680000000000001
Pathorighat (Pt),Pathorighat (Pt),,4,TAMULPUR,18-816-00236,18-816,3.96,6.25,7.19,5.32,5.680000000000001
Khoirabari (Pt),Khoirabari (Pt),,53,DARRANG,18-325-00237,18-325,3.42,4.76,4.28,1.98,3.6100000000000003
Pathorighat (Pt),Patharighat (Pt),,176,DARRANG,18-325-00238,18-325,3.42,4.76,4.28,1.98,3.6100000000000003
Sipajhar,Sipajhar,,293,DARRANG,18-325-00239,18-325,3.42,4.76,4.28,1.98,3.6100000000000003
Dhekiajuli (Pt),Dhekiajuli (Pt),,41,UDALGURI,18-326-00240,18-326,4.57,6.79,6.95,4.1,5.602499999999999
Khoirabari (Pt),Khoirabari (Pt),,163,UDALGURI,18-326-00241,18-326,4.57,6.79,6.95,4.1,5.602499999999999
Pathorighat (Pt),Pathorighat (Pt),,2,UDALGURI,18-326-00242,18-326,4.57,6.79,6.95,4.1,5.602499999999999
Mangaldoi (Pt),Mangaldoi (Pt),,6,UDALGURI,18-326-00243,18-326,4.57,6.79,6.95,4.1,5.602499999999999
Dalgaon (Pt),Dalgaon (Pt),,63,UDALGURI,18-326-00244,18-326,4.57,6.79,6.95,4.1,5.602499999999999
Harisinga,Harisinga,,626,UDALGURI,18-326-00245,18-326,4.57,6.79,6.95,4.1,5.602499999999999
Udalguri,Udalguri,y,569,UDALGURI,18-326-00246,18-326,4.57,6.79,6.95,4.1,5.602499999999999
Mazbat,Mazbat,,325,UDALGURI,18-326-00247,18-326,4.57,6.79,6.95,4.1,5.602499999999999
Mahmora,Mahmora,,294,CHARAIDEO,18-755-00248,18-755,4.13,5.01,5.18,3.01,4.3325
Biswanath,Biswanath,y,1042,BISWANATH,18-756-00249,18-756,2.62,4.43,6.95,7.59,5.3975
Helem,Halem,,427,BISWANATH,18-756-00250,18-756,2.62,4.43,6.95,7.59,5.3975
Gohpur,Gohpur,,314,BISWANATH,18-756-00251,18-756,2.62,4.43,6.95,7.59,5.3975
Hojai,Hojai,y,265,HOJAI,18-757-00252,18-757,7.53,8.0,6.87,7.28,7.420000000000001
Doboka,Doboka,,318,HOJAI,18-757-00253,18-757,7.53,8.0,6.87,7.28,7.420000000000001
Lanka,Lanka,,873,HOJAI,18-757-00254,18-757,7.53,8.0,6.87,7.28,7.420000000000001
Donka,Donkamokam,,3073,WEST KARBI ANGLONG,18-759-00255,18-759,2.11,2.28,4.19,3.26,2.96
South Salmara,South Salmara,,435,SOUTH SALMARA MANCACHAR,18-758-00256,18-758,2.8,4.47,3.1,2.55,3.2299999999999995
Mankachar,Mankachar,,249,SOUTH SALMARA MANCACHAR,18-758-00257,18-758,2.8,4.47,3.1,2.55,3.2299999999999995
Bajali (Pt),Bajali (Pt),,18,TAMULPUR,18-816-00258,18-816,3.96,6.25,7.19,5.32,5.680000000000001
Goreswar (Pt),Goreswar (Pt),,283,TAMULPUR,18-816-00259,18-816,3.96,6.25,7.19,5.32,5.680000000000001
Tamulpur,Tamulpur,,549,TAMULPUR,18-816-00261,18-816,3.96,6.25,7.19,5.32,5.680000000000001
Baksa,Baska,,296,BAKSA,18-324-00262,18-324,3.96,6.25,7.19,5.32,5.680000000000001
Sarupeta (Pt),Sarupeta (Pt),,135,BAKSA,18-324-00263,18-324,3.96,6.25,7.19,5.32,5.680000000000001
Barnagar (Pt),Barnagar (Pt),,207,BARPETA,18-303-00264,18-303,4.26,4.82,3.94,3.03,4.0125
Sarupeta (Pt),Sarupeta (Pt),,262,BAJALI,18-799-00265,18-799,4.26,4.82,3.94,3.03,4.0125
Chenga,Chenga,,318,BARPETA,18-303-00266,18-303,4.26,4.82,3.94,3.03,4.0125
North Guwahati (Pt),North Guwahati (Pt),,115,KAMRUP METRO,18-322-00267,18-322,6.84,10.4,2.6,2.8,5.660000000000001
Kalaigaon (Pt),Kalaigaon (Pt),,192,UDALGURI,18-326-00268,18-326,4.57,6.79,6.95,4.1,5.602499999999999
Mangaldoi (Pt),Mangaldoi (Pt),y,440,DARRANG,18-325-00269,18-325,3.42,4.76,4.28,1.98,3.6100000000000003
Dalgaon (Pt),Dalgaon (Pt),,649,DARRANG,18-325-00270,18-325,3.42,4.76,4.28,1.98,3.6100000000000003
Mayong,Mayong,,486,MORIGAON,18-304-00271,18-304,4.42,4.67,4.87,6.69,5.1625000000000005
Palasbari,Palasbari,,393,KAMRUP,18-321-00272,18-321,8.36,7.33,3.88,3.73,5.825
Azara,Azara,,423,KAMRUP,18-321-00273,18-321,8.36,7.33,3.88,3.73,5.825
Gossaigaon (Pt),Gossaigaon (Pt),,77,DHUBRI,18-301-00274,18-301,3.07,4.35,5.51,4.77,4.425
Jorhat West,Jorhat West,,364,JORHAT,18-312-00276,18-312,7.32,9.27,7.11,6.42,7.529999999999999
Jorhat East,Jorhat East,,195,JORHAT,18-312-00277,18-312,7.32,9.27,7.11,6.42,7.529999999999999
Sapekhati,Sapekhati,,394,CHARAIDEO,18-755-00278,18-755,4.13,5.01,5.18,3.01,4.3325
Sonari,Sonari,y,385,CHARAIDEO,18-755-00279,18-755,4.13,5.01,5.18,3.01,4.3325
Ujani Majuli,Ujani Majuli,,322,MAJULI,18-760-00280,18-760,3.86,5.33,6.16,6.03,5.345
Majuli,Majuli,,648,MAJULI,18-760-00281,18-760,3.86,5.33,6.16,6.03,5.345
Phuloni,Phuloni,,3303,KARBI ANGLONG,18-314-00275,18-314,3.22,4.8,6.5,6.56,5.27
